Name,Age,Sex,Date,X,Y
Chou,3,2,930726,3.5795638659,43.7207400281
Brock,2,1,930728,3.5654017347,43.7412751051
Brock,2,1,930729,3.5649587131,43.7420720883
Jean,2,1,930729,3.5732119135,43.7214935378
Brock,2,1,930730,3.5655838599,43.7422813799
Chou,3,2,930730,3.5802503545,43.7179418236
Jean,2,1,930730,3.5739449944,43.7227278584
Chou,3,2,930731,3.5810952551,43.718580728
Jean,2,1,930731,3.5755782511,43.7212787008
Brock,2,1,930801,3.5768642476,43.7467499172
Chou,3,2,930801,3.5795534419,43.7172562823
Jean,2,1,930801,3.5717386213,43.7228779056
Jean,2,1,930802,3.5740696899,43.7257512423
Brock,2,1,930803,3.5632140933,43.7417668592
Calou,2,1,930803,3.5825269725,43.7467599792
Chou,3,2,930804,3.5810128908,43.7187976839
Chou,3,2,930805,3.5809357751,43.7192666446
Calou,2,1,930806,3.5826479485,43.746011469
Jean,2,1,930806,3.5727524986,43.7208863889
Brock,2,1,930807,3.5631490373,43.7422266728
Jean,2,1,930808,3.5820430018,43.7461801417
Brock,2,1,930809,3.5724331407,43.744448628
Chou,3,2,930809,3.5814388342,43.7171996219
Jean,2,1,930809,3.5732933399,43.722428881
Brock,2,1,930810,3.5708478534,43.7452490515
Calou,2,1,930810,3.5819863713,43.7464418265
Jean,2,1,930811,3.5706462145,43.7234749239
Calou,2,1,930812,3.5786644562,43.7425532285
Brock,2,1,930813,3.57150088,43.7438016046
Jean,2,1,930814,3.5710284089,43.7221474463
Brock,2,1,930816,3.5723564186,43.7443414362
Chou,3,2,930816,3.5809288751,43.7183394911
Chou,3,2,930817,3.5801063084,43.7157918695
Jean,2,1,930817,3.5725667407,43.7227068568
Brock,2,1,930819,3.5656546364,43.742703717
Calou,2,1,930819,3.5762762957,43.7381682322
Chou,3,2,930819,3.5817093326,43.7182679213
Jean,2,1,930819,3.5749222114,43.72256417
Jean,2,1,930820,3.5748877801,43.7226995786
Brock,2,1,930821,3.5645492496,43.7414823705
Calou,2,1,930821,3.5783854166,43.7398826232
Jean,2,1,930821,3.5744808618,43.7228300455
Brock,2,1,930822,3.5716659898,43.7439798538
Calou,2,1,930823,3.5739134763,43.7433792589
Jean,2,1,930823,3.5715426658,43.7230060674
Chou,3,2,930825,3.5790759619,43.7205563203
Brock,2,1,930827,3.5703210984,43.7431932706
Chou,3,2,930827,3.5820883837,43.717993698
Jean,2,1,930827,3.5787616956,43.7155905321
Calou,2,1,930828,3.5796185278,43.7394730406
Chou,3,2,930828,3.5950657133,43.7136105696
Brock,2,1,930829,3.5618580573,43.7410343109
Chou,3,2,930829,3.5790541157,43.7189091529
Jean,2,1,930829,3.5783849531,43.7171700411
Brock,2,1,930830,3.5699986996,43.7432147755
Calou,2,1,930830,3.5815604816,43.7468605956
Chou,3,2,930830,3.5797425281,43.7156068057
Brock,2,1,930831,3.5683338895,43.7431698215
Calou,2,1,930831,3.578410881,43.7482724003
Jean,2,1,930831,3.5727727992,43.7218674088
